attainabilityfear	attainabilityhope	DietTotal	BMI	age	PDiscrepency	Pstandards	Porder
4	5	19	21,7738423573813	28	25	35	19
2	4	23	23,6294896030246	24	32	34	15
5	5	23	23,3354661447552	25	32	40	11
5	6	18	21,9075824577062	23	33	27	21
5	5	25	24,4646016033724	22	24	29	15
4	5	18	23,8754325259516	22	56	39	19
4	6	17	20,5986080334571	22	48	36	12
4	4	21	24,8163265306122	22	33	37	20
5	6	26	21,7784352399737	20	40	35	18
3	7	10	21,9713358572201	21	44	45	24
1	8	11	21,6333153055706	27	29	41	15
5	2	14	19,8406642043894	22	45	35	27
3	6	9	19,6926652892562	23	32	42	15
3	4	16	19,1515847936417	21	21	27	20
2	6	9	20,0474456213038	24	38	34	23
2	7	13	22,7583067819754	24	47	23	15
3	5	21	21,7079233920381	22	24	36	21
4	7	20	21,3839419960573	22	44	25	19
5	8	25	24,6913580246914	20	37	40	18
3	1	9	20,5498866213152	23	31	27	15
5	6	24	17,9591836734694	19	52	29	13
8	3	21	21,0526315789474	22	35	43	19
7	7	27	21,7993079584775	24	49	28	19
2	8	23	20,7612456747405	22	26	40	17
1	3	22	21,952479338843	20	25	28	22
3	1	14	18,9291508923743	24	26	29	22
6	6	33	18,491124260355	21	38	41	27
6	7	32	23,8754325259516	21	31	34	18
3	6	27	21,5349083986143	24	39	36	11
6	3	18	23,2459847844463	19	38	30	13
7	3	22	22,5981404958678	25	37	32	20
3	1	20	24,2214532871972	22	53	45	24
1	6	20	23,051754907793	22	25	46	21
4	5	22	19,8838530488575	23	26	36	18
2	1	12	20,5150864789799	21	15	30	23
6	3	24	22,8623685413809	20	30	18	8
6	4	9	21,3859363528999	20	41	35	12
2	7	10	19,0311418685121	22	43	27	19
6	4	11	20,2020202020202	19	47	27	10
2	7	17	21,484375	22	34	31	19
5	4	9	19,4873827454089	24	25	32	18
7	6	19	25,8166302126286	26	61	39	23
8	3	13	21,2585034013605	20	52	36	16
5	6	22	21,8870763653774	22	40	33	16
4	7	9	23,8086901719128	22	42	33	17
8	8	21	19,7231833910035	24	33	30	20
8	2	9	21,0076677987465	19	41	37	9
5	3	25	21,295294753921	23	22	31	16
7	3	27	19,7530864197531	21	43	34	7
6	1	16	20,5714285714286	20	14	20	16
3	7	14	23,0545624644993	20	26	39	21
5	6	19	23,0400201994698	24	37	36	24
4	3	25	20,2812330989724	23	33	23	15
3	7	25	23,2550186382135	21	31	30	17
4	7	9	20,5191340925413	22	26	41	24
3	8	20	20,307412205455	23	27	42	16
5	6	20	26,4235698242833	19	38	34	21
4	6	10	24,4897959183673	21	32	33	18
2	6	21	 	19	33	30	17
3	3	10	23,828125	23	19	36	19
2	6	28	23,1246703720232	25	54	36	18
8	7	27	24,8970602317342	21	45	38	19
2	9	13	21,2031052289593	18	47	49	23
3	7	25	20,5693296602388	17	39	49	25
4	6	28	31,1418685121107	22	20	47	18
6	5	18	22,1453287197232	23	50	34	9
1	8	20	25,4028160836116	21	48	27	17
2	7	11	20,1950922115531	22	35	39	17
6	2	34	21,9138056975895	23	65	47	18
6	6	12	22,65625	22	60	29	16
3	6	18	19,9432125473229	19	40	37	20
2	3	17	21,7051294327939	22	35	43	23
3	8	28	20,8979591836735	18	41	48	23
6	6	11	21,295294753921	22	25	25	5
2	7	24	23,3886865581877	23	23	43	23
4	7	34	19,5918367346939	18	42	43	10
2	8	9	19,5918367346939	22	25	39	22
1	7	9	18,645344042454	21	38	38	15
6	5	20	27,7008310249307	19	49	43	18
7	5	16	21,6311488543503	21	27	34	23
6	4	20	24,0569347455645	20	43	28	21
6	7	9	17,5556193941715	25	24	42	28
7	6	16	23,4235574063058	24	49	36	22
8	3	22	 	24	66	37	22
5	6	13	20,2812330989724	22	44	36	21
2	6	22	19,1000918273646	22	30	35	13
1	7	20	22,038567493113	21	23	31	17
7	6	17	22,6421929718633	22	44	36	26
8	5	9	19,4444444444444	20	23	20	16
2	6	20	22,0931700542861	22	30	33	15
2	7	9	25,7116620752984	24	17	45	19
3	4	17	20,1955782312925	22	25	34	20
7	4	18	23,8367346938776	19	46	33	23
6	6	19	20,1771485243323	19	32	43	22
5	7	18	22,3081499107674	23	26	42	20
7	8	45	14,8213427335363	19	55	36	22
3	9	9	18,724173553719	22	46	38	24
7	9	28	28,90625	26	52	43	26
6	8	22	20,0474456213038	26	39	34	12
3	5	14	21,0480476121353	29	35	39	19
4	8	9	19,8351629561233	24	37	32	23
2	8	25	22,2753099173554	22	38	37	19
3	4	9	20,3222528668892	25	33	37	11
2	6	13	23,5294117647059	27	35	29	12
3	1	18	18,2098765432099	24	48	38	19
4	5	10	22,5895514360501	21	42	36	22
4	7	26	23,2254318478734	24	71	40	21
3	4	14	19,265306122449	20	29	29	10
6	7	15	18,8189243102864	24	64	40	12
8	2	32	24,2214532871972	20	76	34	19
2	5	9	18,4964988769983	24	32	38	22
5	4	21	24,2214532871972	20	28	34	18
3	6	13	23,3886865581877	23	63	37	9
6	5	22	16,6530612244898	20	56	40	16
5	7	9	25,3069320474676	27	24	35	17
